id_usuario,primer_nombre,segundo_nombre,primer_apellido,segundo_apellido,correo,telefono,direccion,fecha_registro,clave,rol,limite_prestamos
130,Felipe,,Ordóñez,García,felipe.ordonez@correo.edu.co,3096921053,"Avenida Zarzal # 8-57, 050082, Girardota, Antioquia",2025-02-28,0jKRK0S_*+,Externo,5
131,Piedad,,Escobar,Martínez,piedad.escobar@correo.edu.co,3146658952,"Av. calle 6ª # 8-4 Sur, 254724, Tenjo, Cundinamarca",2020-05-18,(7W@!diINL,Administrativo,8
132,Anderson,José,Calderón,Posada,anderson.calderon@correo.edu.co,(+57) 603 984 26 80,"Avenida carrera 118 # 75B-7 Este, 150053, Tasco, Boyacá",2022-01-22,^0ZgzxUF(M,Administrativo,8
133,Cristian,,Orjuela,Hernández,cristian.orjuela@correo.edu.co,57 313 541 60 19,"Avenida Rosa María Correa # 1-8 Sur, 130867, Río Viejo, Bolívar",2019-06-07,!4FKGdZh&H,Estudiante,3
134,Luz,,López,Cortés,luz.lopez@correo.edu.co,57 310 205 02 54,"Av. Ortega # 89Z-5 Este, Casa 4, 731029, Coello, Tolima",2024-01-28,*JUhhAn0+5,Administrativo,8
135,Blanca,Karina,González,Patiño,blanca.gonzalez@correo.edu.co,(+57)3074051337,"Cr. 57 # 60-9 Sur, Bodega 796, 256085, Cáqueza, Cundinamarca",2019-12-12,)8XQ6QCq8$,Externo,5
136,Carlos,Carlos,Mendoza,Díaz,carlos.mendoza@correo.edu.co,57 313 527 91 11,"Diagonal 4C # 7-29 Este, 138985, Santa Rosa, Bolívar",2018-08-01,Ld3dBvir__,Estudiante,3
137,Willian,,Zapata,Montenegro,willian.zapata@correo.edu.co,9554829,"Calle 42 # 97D-5 Este, 739847, Prado, Tolima",2023-09-21,JLORlDCi*2,Bibliotecario,2
138,Juan,,Ríos,Cruz,juan.rios@correo.edu.co,325 445 84 74,"Cr. 151 # 73S-44 Este, Torre 5 apartamento 1, 086059, Sabanalarga, Atlántico",2025-08-15,o0RkNDeb)u,Docente,5
139,Ricardo,,Hernández,Hernández,ricardo.hernandez@correo.edu.co,57 300 706 59 48,"Cl. 37 # 8U-2 Este, Local 40, 052743, Jericó, Antioquia",2021-10-23,2qJpl*Yj&O,Administrativo,3
140,Eliecer,Marta,Ruiz,Nieto,eliecer.ruiz@correo.edu.co,319 858 66 35,"Transversal 98 # 1-69 Este, Local 5, 688825, Hato, Santander",2022-10-27,%6Sw+dR9rC,Docente,8
141,John,,Ríos,Gaviria,john.rios@correo.edu.co,(+57)3212320366,"Calle 77 # 13X-92 Sur, 852685, Trinidad, Casanare",2025-04-02,K^h*b8HiDq,Estudiante,8
142,Carolina,,Posada,Hernández,carolina.posada@correo.edu.co,+573270045358,"Transversal 17 # 5-12 Este, 523228, Chachagüí, Nariño",2023-09-25,9#Wk5yKkya,Estudiante,3
143,Moisés,,Montoya,Pedraza,moises.montoya@correo.edu.co,57 319 646 73 86,"Calle 52W # 65-9 Sur, 503322, Lejanías, Meta",2023-09-07,+J+c7BAa8+,Administrativo,8
144,María,,Cortés,Ruiz,maria.cortes@correo.edu.co,+576091120339,"Cl. 11R # 20-6, Torre 9 apartamento 82, 153568, Jericó, Boyacá",2018-10-26,2H@ZL7IzB$,Docente,5
145,Jhon,,Murillo,Burbano,jhon.murillo@correo.edu.co,317 595 99 55,"Dg. 24 # 69-3 Este, Local 62, 057148, Granada, Antioquia",2023-03-13,s^2vsXZPjv,Administrativo,2
146,Andrea,Hernán,Arias,Jiménez,andrea.arias@correo.edu.co,3152030276,"Transversal 52 # 3J-40 Sur, 250353, San Cayetano, Cundinamarca",2021-07-23,$U&kUz#fa4,Estudiante,5
147,Elías,,Acosta,Barreto,elias.acosta@correo.edu.co,123 25 46,"Cr. 79 # 97-76, 138571, San Cristóbal, Bolívar",2024-01-04,m7(@H&d3#j,Docente,5
148,María,David,Angarita,Martínez,maria.angarita@correo.edu.co,018008196645,"Av. carrera 131 # 42-7 Este, Torre 2 apartamento 2, 173356, Chinchiná, Caldas",2021-11-17,y7d^B!aj&&,Administrativo,5
149,María,John,Gómez,Moreno,maria.gomez@correo.edu.co,(+57)3020344956,"Calle 4W Bis E # 7-4, 050775, Heliconia, Antioquia",2021-12-10,&ZfGxbyvj0,Estudiante,3
150,David,Humberto,Rojas,Salazar,david.rojas@correo.edu.co,(+57)3200599469,"Cr. 18 # 29-57 Este, Oficina 4, 547007, Sardinata, Norte de Santander",2024-12-01,63NghCRO!8,Estudiante,8
151,Olga,Mary,Ardila,Sepúlveda,olga.ardila@correo.edu.co,57 322 285 82 58,"Av. calle 9ª # 7Y-83 Este, Etapa 6 apartamento 6, 509603, Cubarral, Meta",2024-12-31,OHTY3Rw7(6,Administrativo,8
152,Piedad,Francisco,Delgado,Daza,piedad.delgado@correo.edu.co,(+57) 301 637 12 06,"Carrera 90 # 5-5, 257601, Cabrera, Cundinamarca",2022-12-06,(73F^Ir*^#,Docente,5
153,Alberto,Pilar,Zambrano,Páez,alberto.zambrano@correo.edu.co,(+57)3154654268,"Avenida Víctor Álvarez # 75S-16, Oficina 937, 254034, La Calera, Cundinamarca",2018-01-05,W$0CjwxcVt,Docente,2
154,Sara,Andrés,Lozano,Navarro,sara.lozano@correo.edu.co,+576051957093,"Diagonal 94 # 8-17, Oficina 6, 133640, Regidor, Bolívar",2021-01-22,OUeU6FzVE+,Externo,5
155,Isabel,Ana,Villamizar,Benavides,isabel.villamizar@correo.edu.co,316 275 28 00,"Cl. 71 # 38-73 Sur, 159459, Firavitoba, Boyacá",2024-09-06,fcc$+8Tp)e,Administrativo,5
156,Joaquín,,Daza,Moreno,joaquin.daza@correo.edu.co,(+57) 309 484 14 23,"Avenida carrera 97 # 4-1, 442875, Riohacha",2019-06-08,&wMnDTri5M,Bibliotecario,2
157,Yaneth,,Montenegro,Rubio,yaneth.montenegro@correo.edu.co,57 329 116 11 46,"Cr. 47 # 68Y-38, Etapa 7 apartamento 2, 259754, Puerto Salgar, Cundinamarca",2020-11-07,r7J!MT(_*C,Estudiante,2
158,Luis,Claudia,Pérez,Ramos,luis.perez@correo.edu.co,+576097966602,"Av. Fabiola Díaz # 10P-89, 524682, Guaitarilla, Nariño",2019-11-07,$YhQeihvy7,Docente,2
159,Luisa,Luisa,Sánchez,Vélez,luisa.sanchez@correo.edu.co,573274876296,"Cr. 91 # 2-8 Este, 507267, San Juan de Arama, Meta",2018-07-15,%p7PC)s1yH,Externo,8
160,Alexander,Rubén,Herrera,Cantillo,alexander.herrera@correo.edu.co,57 317 330 90 74,"Carrera 31 # 4-88 Este, 052247, Puerto Nare, Antioquia",2021-11-02,fE9AbiW3)K,Docente,2
161,Vicente,,Benavides,Pérez,vicente.benavides@correo.edu.co,(+57) 323 723 72 25,"Cr. 14 # 1-57, 200089, San Diego, Cesar",2020-09-09,3YRlY8Hg$E,Administrativo,3
162,Antonia,,Mendoza,Vega,antonia.mendoza@correo.edu.co,57 311 769 68 06,"Cr. 164 # 4-3 Este, Local 64, 415783, Acevedo, Huila",2024-12-25,JRXUxQTt*3,Docente,8
163,Javier,Ana,Arias,Moreno,javier.arias@correo.edu.co,606 298 59 65,"Cr. 47M # 26P-57 Este, 056686, Jericó, Antioquia",2021-09-17,_)8&gNCAph,Administrativo,5
164,Rafael,,Vargas,Buitrago,rafael.vargas@correo.edu.co,3139639949,"Carrera 130 # 2-1 Este, 506531, Cabuyaro, Meta",2022-04-17,b4g7GaMm#0,Docente,5
165,Alba,Fernanda,Gonzáles,Osorio,alba.gonzales@correo.edu.co,(+57) 310 191 09 04,"Carrera 97S Este # 5-25 Sur, Oficina 73, 856447, Paz de Ariporo, Casanare",2022-03-02,&WOt0ZetZT,Externo,5
166,John,,Becerra,Guerrero,john.becerra@correo.edu.co,573147338780,"Carrera 177 Bis # 9-9 Este, 476651, El Retén, Magdalena",2022-12-18,$EWHB3h+7I,Bibliotecario,3
167,Blanca,,Arenas,Cantillo,blanca.arenas@correo.edu.co,3043435486,"Calle 4 Sur # 7-54 Sur, Casa 2, 475603, Remolino, Magdalena",2020-07-28,&0JKMsVarJ,Bibliotecario,3
168,Benjamín,Leidy,Córdoba,Duarte,benjamin.cordoba@correo.edu.co,+573158681900,"Cr. 113A # 15-1, Apto. 6, 415286, Isnos, Huila",2021-03-30,p5*q#Z9E)x,Docente,2
169,Kelly,Néstor,Montes,Carvajal,kelly.montes@correo.edu.co,57 602 236 50 55,"Cr. 49E # 18-85 Este, Oficina 917, 237080, Tierralta, Córdoba",2025-08-25,@V39N8Ec$q,Administrativo,2
170,Omar,,García,Oviedo,omar.garcia@correo.edu.co,57 325 885 62 74,"Av. calle 7ª # 25-7 Sur, Apartamento 71, 956203, San José del Guaviare",2023-08-29,*JFd&(gpe1,Bibliotecario,5
171,Camila,,Orozco,Sarmiento,camila.orozco@correo.edu.co,57 329 206 23 14,"Cl. 1ª # 2-31, 501968, Guamal, Meta",2024-02-19,)6jvri6q$A,Externo,3
172,Nicolás,,Muñoz,Cifuentes,nicolas.munoz@correo.edu.co,01 8003 469 544,"Carrera 48 # 18-85 Sur, Apartamento 78, 526274, Belén, Nariño",2023-12-09,Aba9Iuzc#B,Estudiante,5
173,Mariana,Sara,García,Carvajal,mariana.garcia@correo.edu.co,313 016 47 28,"Avenida Yepes # 7-7, Apto. 869, 632629, Buenavista, Quindío",2023-09-19,+8W)lHMnzb,Docente,8
174,Eliana,Cecilia,Zapata,Rincón,eliana.zapata@correo.edu.co,3102157231,"Cl. 9ª # 7J-2 Sur, 152560, Tibaná, Boyacá",2018-02-19,#+YtsLb1(1,Estudiante,8
175,Ever,,Trujillo,Gutiérrez,ever.trujillo@correo.edu.co,(+57) 602 332 21 09,"Cr. 198P # 5-1, 258343, Tenjo, Cundinamarca",2025-01-29,_&1vNsqPa@,Bibliotecario,5
176,Cecilia,Maribel,Chacón,Delgado,cecilia.chacon@correo.edu.co,573235587745,"Calle 45 # 8-91 Este, Oficina 48, 157254, Pajarito, Boyacá",2025-02-14,(y6FSRRa27,Estudiante,8
177,Carmen,,Vásquez,Zapata,carmen.vasquez@correo.edu.co,+573187120753,"Cr. 8ª # 2W-5 Sur, Torre 7 apartamento 99, 085262, Usiacurí, Atlántico",2021-10-30,@$80UkWuEd,Externo,3
178,William,,Gaitán,López,william.gaitan@correo.edu.co,57 608 353 33 49,"Carrera 95 # 28-96 Este, Bodega 1, 683434, Güepsa, Santander",2025-08-12,Hw1P)FVq(L,Externo,8
179,Roberto,Juan,Gómez,Villegas,roberto.gomez@correo.edu.co,(+57)3012223954,"Cl. 174 Bis X # 1-4 Sur, Bodega 17, 054836, Retiro, Antioquia",2020-05-06,H6YFf+zp&l,Docente,8
180,Pablo,Fernanda,Zuluaga,Guerrero,pablo.zuluaga@correo.edu.co,018002784726,"Tr. 104 # 23-3, 259206, San Bernardo, Cundinamarca",2023-12-29,%4GzkxaylE,Bibliotecario,8
181,Omar,César,Correa,Carrillo,omar.correa@correo.edu.co,320 483 64 81,"Cr. 113 # 76-63 Este, 132193, Santa Cruz de Mompox, Bolívar",2023-01-26,MmNF2PJ3j*,Administrativo,2
182,Marina,,Aguilar,Cortés,marina.aguilar@correo.edu.co,01 8008 426 723,"Cl. 1Q # 4-72 Sur, Apartamento 810, 201113, Chiriguaná, Cesar",2024-03-11,*zW&FQHyG9,Estudiante,3
183,Mercedes,Antonio,Meneses,Agudelo,mercedes.meneses@correo.edu.co,857 38 06,"Avenida Castellanos # 56-4 Este, Bodega 47, 549610, Ábrego, Norte de Santander",2021-10-30,lUK07Lyqo#,Docente,2
184,Lucía,Germán,Correa,González,lucia.correa@correo.edu.co,(+57)3149177326,"Cl. 86 # 4S-44 Sur, Oficina 961, 058597, Anorí, Antioquia",2024-07-25,02Oo4Pib%q,Estudiante,8
185,Jesús,,Giraldo,Beltrán,jesus.giraldo@correo.edu.co,+57 307 155 34 74,"Cl. 139 Bis K # 4-80 Sur, 447290, Urumita, La Guajira",2020-05-02,xQF8BRyU1%,Bibliotecario,2
186,Efrén,Andrés,Benavides,Castro,efren.benavides@correo.edu.co,6026737304,"Cl. 88 # 46-53 Sur, 051026, Abriaquí, Antioquia",2020-11-29,7yk4Uh6nw*,Bibliotecario,5
187,Martha,Juan,Páez,Blanco,martha.paez@correo.edu.co,3110102760,"Cl. 13G # 54-4 Sur, 739779, Piedras, Tolima",2023-07-21,*R5DvtIwcI,Docente,3
188,Humberto,Nelcy,Mejía,Correa,humberto.mejia@correo.edu.co,321 812 92 36,"Av. carrera 113 # 77H-9 Sur, 135998, Zambrano, Bolívar",2021-05-05,!!UiWhoq5m,Administrativo,5
189,Adriana,Andrés,Franco,Mendoza,adriana.franco@correo.edu.co,(+57) 308 303 48 57,"Calle 9O # 7Q-53, Oficina 604, 237280, Cotorra, Córdoba",2023-05-11,+CNpwzrSa1,Docente,2
190,Jhonny,María,Pineda,Arias,jhonny.pineda@correo.edu.co,2526990,"Cl. 39 # 66L-5, Casa 4, 529996, Iles, Nariño",2018-11-27,ZtE0oOc30$,Bibliotecario,2
191,Luis,Elkin,Rodríguez,Jiménez,luis.rodriguez2@correo.edu.co,+573018206820,"Carrera 87 # 93-39 Sur, 414847, Guadalupe, Huila",2020-01-11,CQ5pUvp1Q+,Estudiante,3
192,Gabriel,,López,Herrera,gabriel.lopez@correo.edu.co,57 315 768 81 55,"Cr. 15 # 5Y-9 Este, 054487, Rionegro, Antioquia",2023-06-24,rogP_9Xd5%,Docente,2
193,Erika,,Romero,Benavides,erika.romero@correo.edu.co,(+57)3055881082,"Avenida Jorge Guillermo Hernández # 52-4 Sur, 157459, Tuta, Boyacá",2024-12-07,@)7CTybAcI,Administrativo,3
194,Elena,,Londoño,Mesa,elena.londono@correo.edu.co,57 321 255 93 50,"Cr. 165 # 2-5 Sur, 184122, Florencia",2018-12-05,O@3%8IdkEY,Externo,8
195,Estela,,Velásquez,Manrique,estela.velasquez@correo.edu.co,(+57)3035766808,"Cl. 157 # 22-8 Este, 520431, Cumbitara, Nariño",2021-01-29,3rvc5Mc#$x,Externo,2
196,María,,Arias,Castellanos,maria.arias@correo.edu.co,+573091115320,"Carrera 12 # 93-88 Este, Oficina 5, 173396, Neira, Caldas",2023-06-25,#RRvrhIL1h,Bibliotecario,3
197,Cristina,José,López,Jiménez,cristina.lopez@correo.edu.co,(+57) 316 474 26 44,"Cr. 158 # 9-8 Sur, 059663, Jericó, Antioquia",2022-12-20,0%K4uTs4kX,Administrativo,8
198,Lilia,Jesús,Ramírez,Castro,lilia.ramirez@correo.edu.co,(+57) 605 769 08 96,"Cr. 52U # 3-37, Oficina 9, 542923, La Playa, Norte de Santander",2025-11-11,NT77bGQh$r,Estudiante,3
199,Luz,Mónica,Valencia,Orozco,luz.valencia@correo.edu.co,+573176578680,"Av. carrera 5ª # 4-36 Sur, 057644, Titiribí, Antioquia",2025-09-05,6!265N9dcJ,Docente,2
200,Marcela,,Vargas,García,marcela.vargas@correo.edu.co,698 50 56,"Transversal 4 Bis N # 8-1 Sur, 153229, Caldas, Boyacá",2018-11-05,*ruhGxgO#3,Externo,2
201,Doris,Raúl,Hoyos,Roa,doris.hoyos@correo.edu.co,3196599052,"Avenida calle 50 # 87A-6, Apartamento 391, 734358, Chaparral, Tolima",2023-11-20,!$s0NSLcvm,Docente,3
202,Junior,Lucía,Gutiérrez,García,junior.gutierrez@correo.edu.co,+57 607 774 31 26,"Calle 52 # 65-3 Sur, Oficina 1, 526165, Arboleda, Nariño",2019-10-11,2YN%LBBv*h,Bibliotecario,2
203,Jennifer,María,Restrepo,García,jennifer.restrepo@correo.edu.co,(+57)6043218167,"Cr. 165C # 80-5, Local 4, 255484, Girardot, Cundinamarca",2023-07-10,#1WcqRCuC(,Administrativo,2
204,Esteban,,Arango,Martínez,esteban.arango@correo.edu.co,573188051093,"Cr. 143 # 10-9 Sur, 193305, Puracé, Cauca",2022-04-19,5uYZ*inh@6,Externo,5
205,Ernesto,Hernán,Torres,Rojas,ernesto.torres@correo.edu.co,321 785 68 17,"Cr. 1ª # 25-79 Este, Bodega 69, 527393, Tangua, Nariño",2018-06-04,aO(r3Hwe7A,Bibliotecario,8
206,Agustín,Nelly,Ramírez,Sepúlveda,agustin.ramirez@correo.edu.co,(+57)3207650946,"Cr. 161 # 7-9, Apartamento 86, 197192, Caldono, Cauca",2021-04-30,+k1AaVotTa,Docente,3
207,Eduardo,Enrique,Silva,Herrera,eduardo.silva@correo.edu.co,(+57) 327 777 01 49,"Cr. 56T # 87-4 Este, Casa 7, 701956, San Juan de Betulia, Sucre",2023-07-04,dT(90#Lm(^,Docente,3
208,Orlando,Miguel,Páez,León,orlando.paez@correo.edu.co,310 075 16 74,"Cl. 147O # 63-6 Este, Oficina 88, 868217, Orito, Putumayo",2021-05-16,5rUM4DGoX(,Externo,5
209,Milena,,Arrieta,González,milena.arrieta@correo.edu.co,696 99 33,"Carrera 67Q # 6-35 Sur, 258305, Gachalá, Cundinamarca",2023-04-27,W+S2Be1+Vb,Estudiante,2
210,Maira,Carlos,Pérez,Hernández,maira.perez@correo.edu.co,301 778 65 03,"Cl. 124 # 4-65, 257791, Villagómez, Cundinamarca",2022-05-31,CEp_x1Cwg(,Estudiante,8
211,Rosa,David,Ramírez,Escobar,rosa.ramirez@correo.edu.co,3286708855,"Carrera 89 # 6-53 Este, Oficina 54, 050104, Carolina, Antioquia",2025-03-22,olP1XAvd3#,Docente,8
212,Moisés,,Ruiz,Contreras,moises.ruiz@correo.edu.co,+57 321 115 70 34,"Transversal 55 # 12-3, 704262, Chalán, Sucre",2023-12-05,$Yd5W9iph6,Bibliotecario,3
213,Jair,Francisco,Carmona,Roa,jair.carmona@correo.edu.co,+57 307 006 03 98,"Calle 5F Este # 77-25 Sur, 132141, Cantagallo, Bolívar",2019-05-16,(bTgtk2b0E,Bibliotecario,2
214,Domingo,Juan,Cáceres,Valencia,domingo.caceres@correo.edu.co,573258179157,"Calle 52J # 24-5, Apartamento 69, 182191, Curillo, Caquetá",2023-02-24,@3U2QpIltn,Docente,2
215,Adolfo,Lucía,Beltrán,Mora,adolfo.beltran@correo.edu.co,573146988866,"Av. carrera 2ª # 24J-6, Etapa 9 apartamento 22, 523675, La Llanada, Nariño",2020-11-19,@*1Ru4En#0,Externo,2
216,Tatiana,,Forero,Rodríguez,tatiana.forero@correo.edu.co,+57 602 424 62 67,"Avenida calle 8ª # 3-44 Este, Apartamento 332, 178670, Chinchiná, Caldas",2025-05-08,_9YetAxrsO,Estudiante,8
217,Jesús,Gloria,Jiménez,Pacheco,jesus.jimenez@correo.edu.co,6083330510,"Cr. 3R Este # 46-9 Sur, 275416, Bajo Baudó, Chocó",2021-11-13,2l0uUtHr+j,Externo,5
218,Magaly,Gerson,Prada,Castro,magaly.prada@correo.edu.co,305 731 89 95,"Cr. 107L # 80U-67, Apto. 29, 253534, El Peñón, Cundinamarca",2025-08-09,s+8RkHyLPe,Externo,5
219,Luis,María,Valencia,Escobar,luis.valencia@correo.edu.co,(+57)6033948454,"Calle 46 # 25-11 Este, Local 6, 520591, Potosí, Nariño",2022-02-26,*&p7Jhgkpg,Externo,5
220,Azucena,Elkin,Sánchez,Moreno,azucena.sanchez@correo.edu.co,+57 603 467 87 03,"Avenida María Ana Zambrano # 83N-4, Apto. 31, 975475, Yavaraté, Vaupés",2018-03-29,@zsTg+5mg4,Docente,3
221,John,Andrés,Palacios,Rodríguez,john.palacios@correo.edu.co,3248510021,"Carrera 7ª # 9-8 Este, 760817, Guacarí, Valle del Cauca",2023-03-04,%U*3F3)y1B,Administrativo,5
222,Sandra,,Peña,Martínez,sandra.pena@correo.edu.co,576052046010,"Calle 195H # 37-2 Sur, 202072, Bosconia, Cesar",2024-10-06,l&i1TWtqON,Estudiante,2
223,José,,Restrepo,García,jose.restrepo@correo.edu.co,(+57)3098189397,"Cr. 96 # 8C-4 Sur, 175194, Marquetalia, Caldas",2024-12-06,#xURBv6Y@8,Bibliotecario,3
224,Nicolás,,López,Bustamante,nicolas.lopez@correo.edu.co,+573136205449,"Avenida carrera 8ª # 1-8 Este, Torre 3 apartamento 84, 196385, San Sebastián, Cauca",2023-06-02,@8%sEafo5G,Bibliotecario,5
225,Javier,Aida,Benavides,Mora,javier.benavides@correo.edu.co,(+57) 328 922 10 07,"Carrera 97 # 14-51 Este, Apartamento 57, 151246, Sativanorte, Boyacá",2022-07-06,Q68x)9Pc&7,Administrativo,3
226,Martha,María,González,Restrepo,martha.gonzalez@correo.edu.co,5332570,"Av. Guaviare # 14-49 Este, 276689, Tadó, Chocó",2018-06-26,!*MYZPVh4U,Bibliotecario,2
227,Paola,Edinson,Duarte,Martínez,paola.duarte@correo.edu.co,+57 326 432 31 45,"Cl. 4ª # 44O-3 Sur, 525917, San Andrés de Tumaco, Nariño",2020-05-26,x&jC7Jqb3a,Docente,5
228,Fredy,,Galeano,Bedoya,fredy.galeano@correo.edu.co,6041607136,"Transversal 45X # 62-7, 054267, Maceo, Antioquia",2018-04-12,BiU67Dkv@n,Administrativo,3
229,Edwar,Mariela,Hernández,Bedoya,edwar.hernandez@correo.edu.co,57 310 814 99 40,"Av. carrera 6ª # 9F-18 Sur, Torre 3 apartamento 489, 195803, Guapi, Cauca",2023-03-12,qe!V7KLb7k,Estudiante,2
230,Emma,Alix,Gutiérrez,Chávez,emma.gutierrez@correo.edu.co,+57 314 930 46 40,"Av. carrera 175 # 4Z-8 Sur, 054862, San Vicente Ferrer, Antioquia",2022-05-28,Ea93Zr(r6),Externo,5
231,Edilma,Andrea,Mejía,Córdoba,edilma.mejia@correo.edu.co,302 470 79 26,"Cr. 53 # 9-99 Sur, Local 24, 156032, San Luis de Gaceno, Boyacá",2023-01-04,U+uJ2Otrf%,Administrativo,3
232,Felipe,,Pardo,Pérez,felipe.pardo@correo.edu.co,+573017427183,"Avenida carrera 127 # 7-57 Este, Casa 5, 153936, Ráquira, Boyacá",2024-11-28,iGB*0FPw!4,Externo,5
233,Virginia,,Bernal,Duarte,virginia.bernal@correo.edu.co,(+57)3195282767,"Carrera 196G # 29-62, Etapa 3 apartamento 44, 733732, Natagaima, Tolima",2019-01-02,!K0!s0EmGq,Externo,3
234,Patricia,Roberto,Acosta,González,patricia.acosta@correo.edu.co,6042520898,"Calle 47 # 5I-91 Sur, Torre 1 apartamento 69, 683773, Vélez, Santander",2021-10-30,!tVZs@+w2W,Estudiante,2
235,Jesús,Alcira,Bohórquez,Barbosa,jesus.bohorquez@correo.edu.co,57 606 789 45 23,"Transversal 175D # 19-4, Casa 4, 055998, Peque, Antioquia",2019-08-01,$kpR8%Cq08,Docente,2
236,Antonio,Deisy,Bernal,Delgado,antonio.bernal@correo.edu.co,57 325 585 09 59,"Calle 78F # 58D-31, Etapa 6 apartamento 192, 156694, Arcabuco, Boyacá",2021-11-30,8rt3Ut_OG%,Bibliotecario,3
237,Manuela,Fabio,Erazo,Espinosa,manuela.erazo@correo.edu.co,+57 317 407 88 69,"Calle 164 # 47Q-8 Este, Local 979, 761066, Zarzal, Valle del Cauca",2019-12-19,M^)5G(gobQ,Externo,3
238,Luis,,Ortiz,Rodríguez,luis.ortiz@correo.edu.co,576098793651,"Av. carrera 171 # 7-8, Oficina 39, 523273, Roberto Payán, Nariño",2018-04-30,@jLPUkH5a2,Bibliotecario,2
239,Julián,,Márquez,Pardo,julian.marquez@correo.edu.co,(+57)3178369030,"Carrera 197T # 1Z-87, Etapa 2 apartamento 45, 209856, Gamarra, Cesar",2020-11-23,8Fn&0KApg^,Bibliotecario,2
240,Luis,Ana,Padilla,Luna,luis.padilla@correo.edu.co,+57 313 876 21 57,"Cl. 127I # 23-5, Etapa 1 apartamento 656, 738248, Villahermosa, Tolima",2025-10-02,M9Qc0q_e+V,Bibliotecario,8
241,Luis,,Rodríguez,Cruz,luis.rodriguez3@correo.edu.co,57 605 632 04 48,"Carrera 49 # 71-5 Sur, Bodega 84, 687660, Cerrito, Santander",2018-11-20,*wPHFzKH6x,Estudiante,3
242,María,,Sandoval,Chaparro,maria.sandoval@correo.edu.co,+57 602 896 45 52,"Calle 9A Bis C # 7-30 Este, 522754, La Florida, Nariño",2023-08-19,(7Zv%l_Ix2,Estudiante,5
243,Rocío,Luz,López,Benavides,rocio.lopez@correo.edu.co,57 303 011 18 40,"Calle 5C # 8-5 Sur, 632452, Buenavista, Quindío",2020-08-06,^LUGaLka*8,Estudiante,8
244,Alejandro,,Córdoba,Blanco,alejandro.cordoba@correo.edu.co,018006417825,"Transversal 193 # 5-38 Sur, 546947, El Tarra, Norte de Santander",2025-08-23,(5KTor$p!D,Externo,8
245,Manuel,Harol,Álvarez,Pinzón,manuel.alvarez@correo.edu.co,+57 603 203 87 21,"Cl. 7ª # 43-6, 524622, Leiva, Nariño",2019-02-14,ggBbJ85Z(2,Docente,8
246,Javier,Kevin,Martínez,Loaiza,javier.martinez@correo.edu.co,(+57) 324 350 74 50,"Av. calle 23 # 1-8 Sur, Torre 3 apartamento 90, 234404, Chinú, Córdoba",2022-07-16,c@8uhOFhKD,Bibliotecario,2
247,Estefanía,Delia,Torres,Ruiz,estefania.torres@correo.edu.co,01 8001 471 266,"Diagonal 150C # 53D-4 Este, Apto. 6, 689427, Florián, Santander",2023-12-15,$nBxZC19L9,Estudiante,8
248,Inés,,Villegas,Pacheco,ines.villegas@correo.edu.co,57 606 627 59 39,"Avenida calle 165 # 10-5 Sur, Apto. 5, 706220, Ovejas, Sucre",2022-10-23,$96+jlIg_d,Docente,5
249,Óscar,Daniela,Sánchez,Palacios,oscar.sanchez@correo.edu.co,+57 327 857 10 93,"Tr. 95 # 86-67 Sur, Local 4, 199006, Patía, Cauca",2021-09-29,(0ax5RnJ&1,Docente,8
250,Amparo,Armando,Martínez,Jiménez,amparo.martinez@correo.edu.co,3235175735,"Cr. 4ª # 37-35 Este, 089656, Repelón, Atlántico",2025-04-30,Z&&4rQgiNV,Externo,2
251,Ángela,Rosalba,Gómez,García,angela.gomez@correo.edu.co,(+57) 608 164 30 29,"Cr. 44 # 62-19, Apto. 42, 971093, Yavaraté, Vaupés",2023-01-26,sT@4Sblm+S,Estudiante,8
252,Yamile,Eduardo,Rodríguez,Angarita,yamile.rodriguez@correo.edu.co,+573282446666,"Calle 36 # 72-7 Este, Torre 7 apartamento 138, 415085, Santa María, Huila",2023-11-25,#L3OZAnyRf,Externo,5
253,Nataly,Liliana,Sandoval,Moreno,nataly.sandoval@correo.edu.co,+57 306 661 05 14,"Cr. 3W Bis T # 5-14, 542886, El Carmen, Norte de Santander",2021-06-12,c9eL&b8o_4,Estudiante,5
254,Paola,Carlos,Ramírez,Correa,paola.ramirez@correo.edu.co,(+57)6091237793,"Calle 23A Este # 2-43, Casa 3, 136318, Santa Rosa del Sur, Bolívar",2020-08-21,9&3^NV)WJc,Administrativo,5
255,Alberto,Yesid,Núñez,López,alberto.nunez@correo.edu.co,(+57)3275690001,"Av. Vichada # 61P-2 Sur, 134834, El Guamo, Bolívar",2024-05-20,%(yJnS!NR7,Administrativo,3
256,Alexander,Felipe,Delgado,Prieto,alexander.delgado@correo.edu.co,018003491232,"Cr. 35 # 66-32 Este, Oficina 19, 152418, Gachantivá, Boyacá",2021-04-10,(2Tf0wCh!c,Docente,5
257,Martha,Ricardo,Ospino,Correa,martha.ospino@correo.edu.co,018006290251,"Cl. 6P # 5-10 Sur, Torre 9 apartamento 727, 470220, Sitionuevo, Magdalena",2023-02-25,$^bTBBRq19,Externo,8
258,Tatiana,Maira,Rincón,Ardila,tatiana.rincon@correo.edu.co,01 8003 076 440,"Tr. 92H # 1-2 Este, 502727, El Dorado, Meta",2024-05-22,(&En6a2G#3,Externo,8
